,MNI_X,MNI_Y,MNI_Z
17,-13.88624238,-15.79910703,-6.014101341
18,-13.88624238,-15.79910703,-6.014101341
19,-15.65398391,-16.40874417,-7.061236366
32,-12.0475652271265,-13.853092626161,-7.843069464647749
39,-13.453444444878302,-13.6728045914817,-7.29739013030643
41,-13.5407298425445,-15.273898327389698,-6.05520095093738
42,-13.5407298425445,-15.273898327389698,-6.05520095093738
71,-13.6484520803807,-15.2263300854643,-5.399758620565209
86,-12.4885958867436,-16.1932468592455,-10.5981651736694
123,-15.0935548495657,-15.0201177333737,-5.65446226125553
129,-12.2703185932302,-19.8608791219723,-7.072848043284219
161,-11.7623657686753,-14.63769911143,-9.09911297557394
175,-14.947362934151302,-13.0200072037726,-5.68232715563929
