,MNI_X,MNI_Y,MNI_Z
6,-14.5310580812023,-16.5566965073604,-7.833295695807769
26,-14.60209706711,-15.164714344744,-5.27490176153644
100,-14.788360442404402,-15.4655606655581,-7.6384989657783695
154,-13.9681317423241,-14.059802381319198,-8.93070866038205
162,-13.6286710001882,-11.7171535826796,-5.18083210255645
163,-13.6286710001882,-11.7171535826796,-5.18083210255645
167,-13.1053762417375,-12.5263488923541,-6.4171106312076
177,-15.0544338145815,-14.943000252326,-4.33897374069385
8,-12.730574114804002,-14.4146261897583,-8.57410015683545
107,-14.0181578868802,-15.2766659768952,-8.1396501830917
146,-13.6200200497908,-16.1878687745953,-10.8283548809076
177,-15.0544338145815,-14.943000252326,-4.33897374069385
