,MNI_X,MNI_Y,MNI_Z
27,-12.804232204463402,-12.914741871552,-5.85677006675003
35,-13.1144842166188,-16.999520477893697,-9.13816789547392
36,-13.1144842166188,-16.999520477893697,-9.13816789547392
46,-12.8827431389433,-16.462640341290697,-7.842226449488259
56,-11.030316040120198,-15.753186781141698,-10.8563181822604
61,-13.4260287934488,-15.252032954367,-7.6023462698524
65,-12.670906180920902,-16.085147056374304,-9.76369177559722
85,-12.333781833673802,-14.2659759599487,-11.772652923072698
90,-13.1770631741788,-15.5964375177267,-8.846568738687289
94,-11.32775667002,-13.2361392377358,-9.39890990111936
98,-15.374796519105802,-16.5098936583273,-4.519688922541519
106,-14.356111822687302,-14.7512672875078,-7.333247111495889
195,-12.6994512400972,-15.544966599158098,-10.0459055120158
