,MNI_X,MNI_Y,MNI_Z
44,-12.7856660516947,-14.8443198939133,-9.10027186025077
75,-12.934298431679098,-14.5564026574045,-8.850715239788698
77,-12.4771620410651,-15.2685482689063,-10.3018220430914
88,-10.779655607787,-13.6899109489059,-11.4641682673638
89,-10.779655607787,-13.6899109489059,-11.4641682673638
92,-13.1770631741788,-15.5964375177267,-8.846568738687289
120,-10.7501242134611,-15.1200903046651,-7.68561755280875
122,-15.0935548495657,-15.0201177333737,-5.65446226125553
141,-14.3556099453915,-15.0465106598459,-7.21902860145064
27,-12.804232204463402,-12.914741871552,-5.85677006675003
35,-13.1144842166188,-16.999520477893697,-9.13816789547392
36,-13.1144842166188,-16.999520477893697,-9.13816789547392
46,-12.8827431389433,-16.462640341290697,-7.842226449488259
56,-11.030316040120198,-15.753186781141698,-10.8563181822604
61,-13.4260287934488,-15.252032954367,-7.6023462698524
65,-12.670906180920902,-16.085147056374304,-9.76369177559722
85,-12.333781833673802,-14.2659759599487,-11.772652923072698
90,-13.1770631741788,-15.5964375177267,-8.846568738687289
94,-11.32775667002,-13.2361392377358,-9.39890990111936
98,-15.374796519105802,-16.5098936583273,-4.519688922541519
106,-14.356111822687302,-14.7512672875078,-7.333247111495889
195,-12.6994512400972,-15.544966599158098,-10.0459055120158
