,MNI_X,MNI_Y,MNI_Z
2,-13.245183413211802,-13.6664808407269,-6.94203243989326
6,-14.5310580812023,-16.5566965073604,-7.833295695807769
7,-14.5310580812023,-16.5566965073604,-7.833295695807769
9,-12.730574114804002,-14.4146261897583,-8.57410015683545
15,-11.9602742298381,-15.5025741817648,-10.9026266963067
37,-11.3165030275617,-14.7726985553288,-9.75812283905058
38,-13.453444444878302,-13.6728045914817,-7.29739013030643
43,-11.450208088471,-13.1320553789587,-6.45237797963138
49,-11.8720736176077,-13.5156144187982,-7.697009598367491
52,-11.3518710953312,-14.9191514528256,-9.69804625991919
62,-13.2814666724827,-17.067244614378602,-6.59591302918771
68,-12.5365205076864,-17.8827474168353,-8.77712737298137
73,-13.071055360743,-16.1547125247172,-7.210825358590549
104,-13.870192374306,-14.7729891717986,-9.35313527317672
121,-15.0935548495657,-15.0201177333737,-5.65446226125553
126,-14.2957719670565,-15.9872002060033,-7.601955847855559
144,-13.6200200497908,-16.1878687745953,-10.8283548809076
146,-13.6200200497908,-16.1878687745953,-10.8283548809076
153,-13.9681317423241,-14.059802381319198,-8.93070866038205
158,-13.7744264881396,-15.0923179150324,-9.70725740767363
162,-13.6286710001882,-11.7171535826796,-5.18083210255645
163,-13.6286710001882,-11.7171535826796,-5.18083210255645
167,-13.1053762417375,-12.5263488923541,-6.4171106312076
174,-15.2739669028798,-14.395047882541402,-3.1926014737759503
183,-14.6366888570773,-15.878995551371698,-6.278771893114361
186,-12.405991876951,-13.7380703625086,-6.776150451049629
193,-11.143326677203,-14.1463523208704,-8.12563802775357
4,-13.245183413211802,-13.6664808407269,-6.94203243989326
8,-12.730574114804002,-14.4146261897583,-8.57410015683545
10,-12.730574114804002,-14.4146261897583,-8.57410015683545
20,-15.72387348,-18.26273656,-5.8978907860000005
26,-14.60209706711,-15.164714344744,-5.27490176153644
57,-11.0128122524441,-17.2134769389089,-9.071357833557151
79,-12.4642538254239,-17.112562316837302,-9.1459471317367
95,-15.2318252229175,-14.7000838722176,-6.03685477613624
100,-14.788360442404402,-15.4655606655581,-7.6384989657783695
101,-14.788360442404402,-15.4655606655581,-7.6384989657783695
107,-14.0181578868802,-15.2766659768952,-8.1396501830917
112,-13.0589685095951,-16.7414997123399,-10.3605510159253
149,-14.436671403202698,-13.3685764048006,-7.341944763288749
196,-12.6994512400972,-15.544966599158098,-10.0459055120158
12,-13.8419247742783,-15.9473717245615,-11.3455393342086
21,-13.69735713,-16.00412369,-6.469876393
40,-13.453444444878302,-13.6728045914817,-7.29739013030643
48,-11.8720736176077,-13.5156144187982,-7.697009598367491
50,-11.8111211010628,-15.0253417236869,-5.95839344568178
74,-12.934298431679098,-14.5564026574045,-8.850715239788698
154,-13.9681317423241,-14.059802381319198,-8.93070866038205
177,-15.0544338145815,-14.943000252326,-4.33897374069385
28,-13.7739492047863,-14.243620059147,-8.41708547614003
30,-13.8424902164363,-16.0872911641134,-7.244558205165969
34,-13.0302290113243,-15.1650716895822,-10.3195322182577
45,-12.7856660516947,-14.8443198939133,-9.10027186025077
127,-12.2564669417526,-13.8446500020919,-8.26368368835014
131,-11.5999797712483,-18.90623193427,-9.25507848393232
133,-12.0037461836305,-20.3473968967317,-7.98108582432054
138,-14.4867961415013,-13.1215727258927,-8.196191054011509
139,-14.3556099453915,-15.0465106598459,-7.21902860145064
140,-14.3556099453915,-15.0465106598459,-7.21902860145064
143,-12.5706988652297,-12.639939065285098,-7.69532050955914
165,-11.6252880554932,-11.4550286974007,-4.51691769946784
180,-12.7920732893558,-12.7807509726748,-4.835109784133651
181,-14.5353490606347,-13.9639976127373,-7.60898298460963
194,-11.143326677203,-14.1463523208704,-8.12563802775357
