,MNI_X,MNI_Y,MNI_Z
4,-13.245183413211802,-13.6664808407269,-6.94203243989326
8,-12.730574114804002,-14.4146261897583,-8.57410015683545
26,-14.60209706711,-15.164714344744,-5.27490176153644
34,-13.0302290113243,-15.1650716895822,-10.3195322182577
42,-13.5407298425445,-15.273898327389698,-6.05520095093738
95,-15.2318252229175,-14.7000838722176,-6.03685477613624
107,-14.0181578868802,-15.2766659768952,-8.1396501830917
109,-14.2013022598999,-17.1175566402352,-6.73162515228369
126,-14.2957719670565,-15.9872002060033,-7.601955847855559
131,-11.5999797712483,-18.90623193427,-9.25507848393232
138,-14.4867961415013,-13.1215727258927,-8.196191054011509
140,-14.3556099453915,-15.0465106598459,-7.21902860145064
149,-14.436671403202698,-13.3685764048006,-7.341944763288749
166,-13.1053762417375,-12.5263488923541,-6.4171106312076
177,-15.0544338145815,-14.943000252326,-4.33897374069385
