,MNI_X,MNI_Y,MNI_Z
4,-13.245183413211802,-13.6664808407269,-6.94203243989326
5,-13.245183413211802,-13.6664808407269,-6.94203243989326
6,-14.5310580812023,-16.5566965073604,-7.833295695807769
8,-12.730574114804002,-14.4146261897583,-8.57410015683545
10,-12.730574114804002,-14.4146261897583,-8.57410015683545
14,-11.9602742298381,-15.5025741817648,-10.9026266963067
16,-15.84614348,-16.20438464,-6.606657508
20,-15.72387348,-18.26273656,-5.8978907860000005
26,-14.60209706711,-15.164714344744,-5.27490176153644
38,-13.453444444878302,-13.6728045914817,-7.29739013030643
62,-13.2814666724827,-17.067244614378602,-6.59591302918771
95,-15.2318252229175,-14.7000838722176,-6.03685477613624
97,-15.374796519105802,-16.5098936583273,-4.519688922541519
100,-14.788360442404402,-15.4655606655581,-7.6384989657783695
101,-14.788360442404402,-15.4655606655581,-7.6384989657783695
106,-14.356111822687302,-14.7512672875078,-7.333247111495889
107,-14.0181578868802,-15.2766659768952,-8.1396501830917
109,-14.2013022598999,-17.1175566402352,-6.73162515228369
128,-11.865794481082098,-18.4144057438593,-8.34902151672176
130,-11.5999797712483,-18.90623193427,-9.25507848393232
138,-14.4867961415013,-13.1215727258927,-8.196191054011509
150,-14.4217141472808,-15.2875470017129,-6.24895302240869
152,-13.9681317423241,-14.059802381319198,-8.93070866038205
153,-13.9681317423241,-14.059802381319198,-8.93070866038205
154,-13.9681317423241,-14.059802381319198,-8.93070866038205
156,-14.4625230868936,-14.0280217702346,-7.40458618622466
162,-13.6286710001882,-11.7171535826796,-5.18083210255645
163,-13.6286710001882,-11.7171535826796,-5.18083210255645
167,-13.1053762417375,-12.5263488923541,-6.4171106312076
175,-14.947362934151302,-13.0200072037726,-5.68232715563929
177,-15.0544338145815,-14.943000252326,-4.33897374069385
183,-14.6366888570773,-15.878995551371698,-6.278771893114361
193,-11.143326677203,-14.1463523208704,-8.12563802775357
194,-11.143326677203,-14.1463523208704,-8.12563802775357
201,-10.8491166340387,-17.3914571744801,-9.0620600975466
204,-12.185466018499,-13.7276054934755,-8.998178308918721
