,MNI_X,MNI_Y,MNI_Z
0,-14.98387934,-12.92955243,-5.49369781
1,-14.70173477,-12.72993921,-6.9148277
2,-14.61559584,-13.08360543,-6.69066031
3,-14.30137752,-15.52726452,-6.05530294
4,-14.03616376,-13.9636122,-8.70867027
5,-14.00005879,-14.74497848,-8.96395878
6,-13.73481012,-13.47723165,-5.39605118
7,-13.56196624,-15.93644309,-7.66050696
8,-13.37473971,-17.41903282,-6.20454728
9,-13.31060832,-12.20960832,-5.93658854
10,-13.29565498,-15.71861443,-6.72678909
11,-13.23565603,-15.46435028,-8.16041817
12,-13.18059202,-14.17237787,-8.08707092
13,-12.17040858,-14.08359043,-8.36022743
14,-12.03716398,-14.73622513,-7.1264492
15,-10.9304167,-14.53749422,-5.21299281
