,subj,channel,dir,type,Unnamed: 4,Unnamed: 5,Unnamed: 6,nat_x,nat_y,nat_z,leadDBS_x,leadDBS_y,leadDBS_z,mni_linear_x,mni_linear_y,mni_linear_z,mni_nonlinear_x,mni_nonlinear_y,mni_nonlinear_z,fs_anatomy
0,DBS3003,2,+,Onset,,,,-63.82680848,22.21169129,0.631443964,-62.950384989616,-33.2562709065382,6.26508769602291,-71.6056630274415,-29.7024419198745,4.01475087286399,-73.9996464537013,-29.4197229558642,5.0614491599978,superiortemporal
1,DBS3003,3,+,Onset,,,,-63.51014286,23.71901037,2.892337865,-62.6335907072083,-31.7140954881224,8.50233276906895,-71.2733900604005,-27.3130599948928,5.57332673016677,-73.690371416465,-26.985611361134,6.72598107859823,superiortemporal
2,DBS3003,4,+,Onset,,,,-62.76146539,25.27690356,5.229200804,-61.8847802558293,-30.1201955824793,10.8147435327315,-70.4815307949009,-24.8388596640664,7.16311133358458,-72.8447922708914,-24.4824774744927,8.44167353249141,superiortemporal
3,DBS3003,5,+,Onset,,,,-62.83820385,26.79944459,7.513011084,-61.9613887514683,-28.562425278285,13.0746754326073,-70.5679629019733,-22.4296376600324,8.75746499770842,-73.0840515642097,-22.1101485923985,9.97764849217527,superiortemporal
4,DBS3003,6,+,Onset,,,,-62.12342488,28.35845163,9.85151916,-61.2464767055797,-26.9673844726978,15.3887146594564,-69.8121818252023,-19.9540558179091,10.3500922074235,-72.3278575378036,-19.6900109453412,11.5500260756936,superiortemporal
5,DBS3003,22,+,Three,,,,-63.06439074,27.57959348,3.732628349,-62.187628671999,-27.8409704980019,9.28265685126743,-70.8403719662379,-23.4559908855657,4.5085615794267,-73.2335158774603,-22.9844536444533,5.64922248741787,superiortemporal
6,DBS3003,23,+,Three,,,,-62.77362494,29.22701579,6.146907614,-61.8967236220798,-26.1563293020052,11.6710972796698,-70.5364356420034,-20.8710214898827,6.15659783890638,-72.9875136003788,-20.4310719399871,7.2770236540466,superiortemporal
7,DBS3003,24,+,Three,,,,-62.55489804,30.86439802,8.505865038,-61.6778593019432,-24.4825811312787,14.0043798648936,-70.3093691379822,-18.3211009680781,7.75649455003898,-72.8593146666321,-17.9488947744864,8.7908127329047,superiortemporal
8,DBS3003,25,+,Three,,,,-62.33286398,32.62388553,11.02831237,-61.4556778741409,-22.6842077528028,16.4992394940289,-70.0792817718327,-15.5868353809808,9.46361671884654,-72.7479334566551,-15.3110557177169,10.3700712783263,superiortemporal
9,DBS3003,26,+,Three,,,,-62.11048093,34.23276966,13.3391273,-61.2331599669818,-21.0397008448916,18.7848271244272,-69.8482670698125,-13.0844468780957,11.0280282987169,-72.5896714758952,-12.9022007248006,11.8156858241334,postcentral
10,DBS3003,39,+,Three,,,,-64.12743045,28.10289363,0.337593949,-63.2507247149251,-27.370317685655,5.87994208465016,-71.9979951256702,-24.546438293026,0.823469110028133,-74.5834339920136,-24.0079137240843,1.72155926017206,superiortemporal
11,DBS3003,40,+,Three,,,,-63.70087376,29.77932473,2.768945156,-62.8240269379313,-25.6564132203006,8.28499946969486,-71.5497981867899,-21.9261327283013,2.46787068656387,-74.0971510073291,-21.3825149678825,3.39983393389152,superiortemporal
12,DBS3003,41,+,Three,,,,-63.23764754,31.49275633,5.252768283,-62.360656545813,-23.9047009855847,10.741947949303,-71.0627115492493,-19.2482401371399,4.1459743377629,-73.6026843017352,-18.7331170191633,5.06808965504832,superiortemporal
13,DBS3003,42,+,Three,,,,-62.76649551,33.13420257,7.634145558,-61.8893663547075,-22.2265541840115,13.0975787752618,-70.566932213425,-16.6816839349956,5.75415255885981,-73.1344888691167,-16.2289150030299,6.62324352999117,superiortemporal
14,DBS3003,43,+,Three,,,,-62.26276493,34.75908438,9.997849401,-61.3854988542618,-20.5652454446527,15.435794348222,-70.0363887454264,-14.137719471913,7.35074194555695,-72.6360065296479,-13.7730125192904,8.14251039942156,superiortemporal
15,DBS3003,44,+,Three,,,,-61.66357827,36.39158416,12.39611741,-60.7861740646101,-18.8957884872642,17.8084495891179,-69.4041486829891,-11.5700979421237,8.97420695952049,-71.9902713420892,-11.3131353205412,9.68598970810334,postcentral
16,DBS3005,3,+,Three,,,,-64.93180136,42.62376456,11.02080173,-64.9367334182685,42.6328738757926,10.9884943583167,-64.9558757512908,-37.1147098105586,7.07045868540467,-66.8922872747447,-36.5018405422336,7.47726198876157,superiortemporal
17,DBS3005,6,+,Sus,,,,-63.49135159,47.68225464,17.04363559,-63.4961451561397,47.6904961950075,17.0120238111964,-64.0280682704519,-30.4540111724489,12.6175641119968,-66.1708789064654,-29.7518584311663,13.2214376432964,superiortemporal
18,DBS3005,7,+,Three,,,,-63.13948162,49.41236888,19.10874806,-63.1442277131526,49.4203133311946,19.077377064677,-63.8499151416834,-28.1811070452634,14.5139781052446,-66.0934364732418,-27.4794138865021,15.1245025618797,superiortemporal
19,DBS3005,8,+,Sus,,,,-63.17537446,51.01126283,21.13948391,-63.1800741839,51.0189162922326,21.1083428091642,-64.0479387606696,-26.0714870316004,16.3841174900865,-66.415550685078,-25.4034339775299,16.987118355094,supramarginal
20,DBS3005,21,+,Three,,,,-65.97271433,44.80947488,10.0768882,-65.9776589741738,44.8187226560749,10.0449153934244,-66.0092267921004,-35.0409069221127,5.49720579970207,-68.0580624944939,-34.3427521860762,5.93278780432778,superiortemporal
21,DBS3005,22,+,Sus,,,,-65.48592891,46.61132141,12.23739539,-65.4908239133368,46.6202579951502,12.2056708924205,-65.7054908374233,-32.6663991496329,7.4885273302213,-67.8146992187221,-31.9343953539682,8.0071138672003,superiortemporal
22,DBS3005,23,+,Sus,,,,-64.89802314,48.34087143,14.3007204,-64.9028707086332,48.3495104456135,14.2692317843299,-65.2943572086023,-30.3839570698487,9.39399376016491,-67.469159655804,-29.6090179827159,9.99143470533296,superiortemporal
